﻿Nom du chantier;Adresse 1;CP;Latitude;Longitude;VILLE;N°;Longueur apte à la manutention (ml);Nom de la cour;Manutention 2021
BORDEAUX HOURCADE;rue Radio Londres 40-45;33130;44.79309;-0.544646;BEGLES;664;705;2;2 Portiques
BORDEAUX HOURCADE;rue Radio Londres 40-45;33130;44.79309;-0.544646;BEGLES;666;450;3;1 Portique
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;220;350;;Grue(s)
NANCY CHAMPIGNEULLES;9, Chemin  de la Rompure;54390;48.745447;6.156349;FROUARD;343;400;;1 Portique
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;65;490;5;2 Portiques
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;63;490;5;2 Portiques
AVIGNON COURTINE;Chemin de Courtine;84000;43.939732;4.792701;AVIGNON;116;277;116/120;Grue(s)
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;224;160;;Grue(s)
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;71;417;4;2 Portiques
DIJON GEVREY;Chemin des Etangs;21160;47.252491;5.019144;PERRIGNY LES DIJON;211;150;;Grue(s)
MARSEILLE CANET 1;29, Bld Ferdinand de Lesseps;13014;43.321089;5.37286;MARSEILLE;21;310;;Grue(s)
PARIS CHAPELLE;13-15, Av de la porte de la Chapelle;75018;48.901276;2.357334;PARIS;14;315;;Grue(s)
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;77;494;3;2 Portiques
LYON SAINT-PRIEST;63, rue du Beaujolais;69800;45.692886;4.911439;SAINT-PRIEST;100;300;1;1 Portique
MARSEILLE CANET 1;29, Bld Ferdinand de Lesseps;13014;43.321089;5.37286;MARSEILLE;27;320;;2 Portiques
NANCY CHAMPIGNEULLES;9, Chemin  de la Rompure;54390;48.745447;6.156349;FROUARD;349;110;;Grue(s)
PARIS CHAPELLE;13-15, Av de la porte de la Chapelle;75018;48.901276;2.357334;PARIS;18;235;;Portique(s)
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;61;490;5;2 Portiques
PERPIGNAN SAINT-CHARLES;Gare Marchandises Saint-Charles;66000;42.680675;2.845718;PERPIGNAN;97;750;;2 Portiques
AVIGNON COURTINE;Chemin de Courtine;84000;43.939732;4.792701;AVIGNON;120;285;116/120;Grue(s)
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;136;390;;Grue(s)
NOISY-LE-SEC;11, rue Emmanuel Arago;93130;48.900088;2.462027;NOISY-LE-SEC;10;394;1;1 Portique
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;125;540;6;2 Portiques
RENNES;Avenue Chardonnet;35000;48.108608;-1.633662;RENNES;9;210;;Grue(s)
RENNES;Avenue Chardonnet;35000;48.108608;-1.633662;RENNES;13;245;;Grue(s)
BORDEAUX HOURCADE;rue Radio Londres 40-45;33130;44.79309;-0.544646;BEGLES;663;705;2;2 Portiques
PERPIGNAN SAINT-CHARLES;Gare Marchandises Saint-Charles;66000;42.680675;2.845718;PERPIGNAN;99;750;;2 Portiques
TOULOUSE FENOUILLET;5, rue Seveso;31150;43.686323;1.401977;FENOUILLET;A;300;1;Grue(s)
TOULOUSE FENOUILLET;5, rue Seveso;31150;43.686323;1.401977;FENOUILLET;F;330;;Grue(s)
AVIGNON COURTINE;Chemin de Courtine;84000;43.939732;4.792701;AVIGNON;132;400;132/134;2 Portiques
AVIGNON COURTINE;Chemin de Courtine;84000;43.939732;4.792701;AVIGNON;134;400;132/134;2 Portiques
BORDEAUX HOURCADE;rue Radio Londres 40-45;33130;44.79309;-0.544646;BEGLES;662;705;2;2 Portiques
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;204;260;;2 Portiques
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;79;500;2;Grue(s)
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;73;494;3;2 Portiques
TOURS SAINT-PIERRE DES CORPS;Rue Charles Duval;37700;47.381848;0.738429;ST PIERRE DES CORPS;E;245;;Grue(s)
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;202;260;;2 Portiques
MARSEILLE CANET 1;29, Bld Ferdinand de Lesseps;13014;43.321089;5.37286;MARSEILLE;19;245;;Grue(s)
PARIS CHAPELLE;13-15, Av de la porte de la Chapelle;75018;48.901276;2.357334;PARIS;12;330;;Grue(s)
RENNES;Avenue Chardonnet;35000;48.108608;-1.633662;RENNES;12;245;;Grue(s)
AVIGNON COURTINE;Chemin de Courtine;84000;43.939732;4.792701;AVIGNON;122;285;122/124;Grue(s)
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;120;205;;1 Portique
NOISY-LE-SEC;11, rue Emmanuel Arago;93130;48.900088;2.462027;NOISY-LE-SEC;3;325;4;1 Portique
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;123;540;6;2 Portiques
BORDEAUX HOURCADE;rue Radio Londres 40-45;33130;44.79309;-0.544646;BEGLES;665;450;3;1 Portique
COGNAC;14, place de la Gare;16100;45.685121;-0.325783;COGNAC;17;220;;1 Portique
CLERMONT-FERRAND GERZAT;2, rue de l'Industrie;63360;45.822666;3.138984;GERZAT;7;315;;1 Portique
CLERMONT-FERRAND GERZAT;2, rue de l'Industrie;63360;45.822666;3.138984;GERZAT;13;260;;Grue(s)
DIJON GEVREY;Chemin des Etangs;21160;47.252491;5.019144;PERRIGNY LES DIJON;209;350;;1 Portique
MARSEILLE CANET 1;29, Bld Ferdinand de Lesseps;13014;43.321089;5.37286;MARSEILLE;25;300;;1 Portique
MARSEILLE CANET 1;29, Bld Ferdinand de Lesseps;13014;43.321089;5.37286;MARSEILLE;15;195;;Grue(s)
NOISY-LE-SEC;11, rue Emmanuel Arago;93130;48.900088;2.462027;NOISY-LE-SEC;5;344;3;1 Portique
PERPIGNAN SAINT-CHARLES;Gare Marchandises Saint-Charles;66000;42.680675;2.845718;PERPIGNAN;95;375;;Grue(s)
TOULOUSE FENOUILLET;5, rue Seveso;31150;43.686323;1.401977;FENOUILLET;D;330;2;Grue(s)
PERPIGNAN SAINT-CHARLES;Gare Marchandises Saint-Charles;66000;42.680675;2.845718;PERPIGNAN;101;750;;2 Portiques
AVIGNON COURTINE;Chemin de Courtine;84000;43.939732;4.792701;AVIGNON;128;345;128/130;2 Portiques
HENDAYE;Cour de la Gare Bidassoa;64700;43.356096;-1.783423;HENDAYE;74;260;;1 Portique
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;124;320;;2 Portiques
PARIS CHAPELLE;13-15, Av de la porte de la Chapelle;75018;48.901276;2.357334;PARIS;15;280;;Portique(s)
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;121;540;6;2 Portiques
TOULOUSE SAINT-JORY;RN 20;31150;43.70004;1.395136;FENOUILLET;C;500;;2 Portiques
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;69;417;4;2 Portiques
TOULOUSE FENOUILLET;5, rue Seveso;31150;43.686323;1.401977;FENOUILLET;B;300;;Grue(s)
TOULOUSE FENOUILLET;5, rue Seveso;31150;43.686323;1.401977;FENOUILLET;C;300;;Grue(s)
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;122;320;;2 Portiques
NOISY-LE-SEC;11, rue Emmanuel Arago;93130;48.900088;2.462027;NOISY-LE-SEC;7;344;3;1 Portique
NOISY-LE-SEC;11, rue Emmanuel Arago;93130;48.900088;2.462027;NOISY-LE-SEC;6;344;3;1 Portique
PERPIGNAN SAINT-CHARLES;Gare Marchandises Saint-Charles;66000;42.680675;2.845718;PERPIGNAN;93;375;;Grue(s)
RENNES;Avenue Chardonnet;35000;48.108608;-1.633662;RENNES;7;345;;1 Portique
COGNAC;14, place de la Gare;16100;45.685121;-0.325783;COGNAC;15;220;;1 Portique
LYON VENISSIEUX;5, Chemin du Charbonnier;69200;45.69743;4.902623;VENISSIEUX;114;160;;Grue(s)
DIJON GEVREY;Chemin des Etangs;21160;47.252491;5.019144;PERRIGNY LES DIJON;205;350;;1 Portique
NOISY-LE-SEC;11, rue Emmanuel Arago;93130;48.900088;2.462027;NOISY-LE-SEC;2;325;4;1 Portique
MARSEILLE CANET 1;29, Bld Ferdinand de Lesseps;13014;43.321089;5.37286;MARSEILLE;29;320;;2 Portiques
PARIS CHAPELLE;13-15, Av de la porte de la Chapelle;75018;48.901276;2.357334;PARIS;17;235;;Portique(s)
PARIS VALENTON;1, rue Pierre Sémard;94380;48.760243;2.480041;BONNEUIL-SUR-MARNE;83;500;1 Nord;Grue(s)
TOULOUSE SAINT-JORY;RN 20;31150;43.70004;1.395136;FENOUILLET;D;500;;2 Portiques
LYON SAINT-PRIEST;63, rue du Beaujolais;69800;45.692886;4.911439;SAINT-PRIEST;150;370;2;1 Portique
LYON SAINT-PRIEST;63, rue du Beaujolais;69800;45.692886;4.911439;SAINT-PRIEST;154;370;2;1 Portique
RENNES;Avenue Chardonnet;35000;48.108608;-1.633662;RENNES;8;345;;1 Portique
AVIGNON COURTINE;Chemin de Courtine;84000;43.939732;4.792701;AVIGNON;130;345;128/130;2 Portiques
HENDAYE;Cour de la Gare Bidassoa;64700;43.356096;-1.783423;HENDAYE;76;260;;1 Portique
LYON SAINT-PRIEST;63, rue du Beaujolais;69800;45.692886;4.911439;SAINT-PRIEST;98;300;1;1 Portique
LYON SAINT-PRIEST;63, rue du Beaujolais;69800;45.692886;4.911439;SAINT-PRIEST;152;370;2;1 Portique
MARSEILLE CANET 1;29, Bld Ferdinand de Lesseps;13014;43.321089;5.37286;MARSEILLE;17;245;;Grue(s)
