IDRESEAU;LIBELLE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;GARE;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
155254;Faisceau Impair;229000;1;034+746;51f1e748-6665-11e3-afff-01f464e0362d;Dammartin-Juilly-St-Mard;678221.0764999986;6881826.684799999;2.70215218048237;49.03595764737743;49.03595764737743, 2.7021521804823703;49.03595764735627, 2.7021521804823703;"{""coordinates"": [2.70215218048237, 49.03595764735627], ""type"": ""Point""}"
155070;Faisceau Pair;621000;1;128+071;51ed677e-6665-11e3-afff-01f464e0362d;Terrasson;566068.7282000035;6449892.0978999995;1.296103873011182;45.13531104036676;45.13531104036676, 1.2961038730111818;45.135311040347545, 1.296103873011181;"{""coordinates"": [1.296103873011181, 45.135311040347545], ""type"": ""Point""}"
132279;Faisceau Remisage banlieue;830000;1;010+650;51e3b954-6665-11e3-afff-01f464e0362d;Villeneuve-St-Georges;658371.8391999975;6851579.881099999;2.433668554303618;48.76297957745714;48.76297957745714, 2.4336685543036176;48.7629795774346, 2.433668554303617;"{""coordinates"": [2.433668554303617, 48.7629795774346], ""type"": ""Point""}"
86443;Faisceau Impair;850000;1;360+271;51e3f4b4-6665-11e3-afff-01f464e0362d;Dole;888430.6863999963;6669160.163400002;5.484617159243491;47.096015121330154;47.096015121330154, 5.4846171592434905;47.096015121316604, 5.484617159243492;"{""coordinates"": [5.484617159243492, 47.096015121316604], ""type"": ""Point""}"
128256;Faisceau impair Pont-Saint-Vincent;040000;1;014+773;51e7537a-6665-11e3-afff-01f464e0362d;Pont-St-Vincent;928782.5806000009;6837139.7947;6.103209036404343;48.59399853524138;48.59399853524138, 6.103209036404343;48.593998535217985, 6.103209036404346;"{""coordinates"": [6.103209036404346, 48.593998535217985], ""type"": ""Point""}"
131945;Faisceau Relais Impair;830000;1;622+616;51e1f4aa-6665-11e3-afff-01f464e0362d;Portes;847984.9039999992;6421730.820500001;4.874122793358538;44.878952080354544;44.878952080354544, 4.874122793358538;44.878952080334635, 4.874122793358538;"{""coordinates"": [4.874122793358538, 44.878952080334635], ""type"": ""Point""}"
154146;Faisceau V22 et V24;906000;1;003+887;51ebb10e-6665-11e3-afff-01f464e0362d;Chasse-sur-Rhône;839884.8127999976;6499800.708299998;4.794036349484619;45.58341342568008;45.58341342568008, 4.794036349484619;45.583413425662144, 4.794036349484621;"{""coordinates"": [4.794036349484621, 45.583413425662144], ""type"": ""Point""}"
157132;Base Maintenance LGV A;500000;1;141+540;cef67176-dfb5-11e3-8eff-01a464e0362d;Courtalain-St-Pellerin;560779.1110000014;6775927.363899998;1.130652968977486;48.06889248681704;48.06889248681704, 1.130652968977486;48.068892486806355, 1.1306529689774845;"{""coordinates"": [1.130652968977484, 48.068892486806355], ""type"": ""Point""}"
156064;Faisceau Pair;590000;2;519+647;cef28b4a-dfb5-11e3-8eff-01a464e0362d;Gignac-Cressensac;580364.118900001;6436496.050500002;1.48120225538593;45.017345450859736;45.017345450859736, 1.4812022553859299;45.017345450840196, 1.481202255385929;"{""coordinates"": [1.481202255385929, 45.017345450840196], ""type"": ""Point""}"
72852;Faisceau Pair;145000;1;002+534;51e80a02-6665-11e3-afff-01f464e0362d;Bischheim;1049023.5063999966;6844345.602699999;7.736780076416903;48.605064741349416;48.605064741349416, 7.736780076416903;48.605064741326075, 7.736780076416905;"{""coordinates"": [7.736780076416905, 48.605064741326075], ""type"": ""Point""}"
72797;Faisceau V6;070000;1;474+948;51e1f582-6665-11e3-afff-01f464e0362d;Hochfelden;1036341.2965999991;6860278.515799999;7.577576134002094;48.75484967842874;48.75484967842874, 7.5775761340020935;48.75484967840615, 7.577576134002099;"{""coordinates"": [7.577576134002099, 48.75484967840615], ""type"": ""Point""}"
128088;Garages des rames;334900;1;005+090;51dfff10-6665-11e3-afff-01f464e0362d;Bois-Colombes;647139.2094999999;6867879.6384;2.278836321921574;48.908741029210276;48.908741029210276, 2.2788363219215735;48.90874102918849, 2.2788363219215726;"{""coordinates"": [2.278836321921573, 48.90874102918849], ""type"": ""Point""}"
86534;Faisceau Castelnaudary V8 à V26;640000;1;311+720;51e85858-6665-11e3-afff-01f464e0362d;Castelnaudary;615337.5116000026;6246227.008400001;1.957034073018496;43.3101717743572;43.3101717743572, 1.9570340730184959;43.310171774333256, 1.9570340730184954;"{""coordinates"": [1.957034073018495, 43.310171774333256], ""type"": ""Point""}"
128092;Dépôt;338000;1;020+160;51e96a1c-6665-11e3-afff-01f464e0362d;Achères-Ville;634566.6741999984;6873736.920000002;2.10642202025245;48.96025433358507;48.96025433358507, 2.10642202025245;48.96025433356354, 2.1064220202524497;"{""coordinates"": [2.10642202025245, 48.96025433356354], ""type"": ""Point""}"
157495;Faisceau Impair Desvres;310000;1;102+244;cef83b56-dfb5-11e3-8eff-01a464e0362d;Desvres;618369.1358999982;7063874.450199999;1.847349952876811;50.66638430902065;50.66638430902065, 1.8473499528768105;50.66638430900712, 1.8473499528768094;"{""coordinates"": [1.847349952876809, 50.66638430900712], ""type"": ""Point""}"
156359;Faisceau Pair;472000;1;054+380;cef29ed8-dfb5-11e3-8eff-01a464e0362d;Mauron;307852.1607000008;6789175.843600001;-2.270484839245882;48.085129269719666;48.085129269719666, -2.270484839245882;48.08512926970902, -2.270484839245885;"{""coordinates"": [-2.270484839245885, 48.08512926970902], ""type"": ""Point""}"
