GARE;CODE_LIGNE;RG_TRONCON;PK;IDGAIA;X_L93;Y_L93;X_WGS84;Y_WGS84;C_GEO;Geo Point;Geo Shape
St-Mariens-St-Yzan;547000;1;007+825;51e997b6-6665-11e3-afff-01f464e0362d;427238.5499000028;6456566.7544;-0.47215300560168;45.1544159749278;45.1544159749278, -0.47215300560168;45.15441597490865, -0.4721530056016824;"{""coordinates"": [-0.472153005601682, 45.15441597490865], ""type"": ""Point""}"
Mirebeau-sur-Bèze;838000;2;329+060;cef85848-dfb5-11e3-8eff-01a464e0362d;875729.7666999996;6703108.7291;5.330452604794441;47.40498316907165;47.40498316907165, 5.3304526047944405;47.40498316905902, 5.330452604794442;"{""coordinates"": [5.330452604794442, 47.40498316905902], ""type"": ""Point""}"
Clermont-Ferrand;784000;1;003+974;cef1e9a8-dfb5-11e3-8eff-01a464e0362d;711375.4302999973;6521470.4518;3.146431411879435;45.79276119587239;45.79276119587239, 3.1464314118794348;45.79276119585505, 3.1464314118794348;"{""coordinates"": [3.146431411879435, 45.79276119585505], ""type"": ""Point""}"
;867616;1;000+137;51edb67c-6665-11e3-afff-01f464e0362d;841744.5187999979;6636091.262499999;4.859023225706777;46.809948869676276;46.809948869676276, 4.859023225706777;46.809948869661895, 4.859023225706779;"{""coordinates"": [4.859023225706779, 46.809948869661895], ""type"": ""Point""}"
St-Julien (Côtes-d'Armor);475606;1;481+880;51eaf48a-6665-11e3-afff-01f464e0362d;272554.2013999969;6833749.5143;-2.78710366956967;48.462978131501394;48.462978131501394, -2.78710366956967;48.46297813147731, -2.787103669569675;"{""coordinates"": [-2.787103669569675, 48.46297813147731], ""type"": ""Point""}"
Montluçon-Eau;695606;1;001+590;51e7f368-6665-11e3-afff-01f464e0362d;669695.4540999979;6584433.1087;2.605858784858038;46.359145372636334;46.359145372636334, 2.6058587848580377;46.35914537262064, 2.6058587848580372;"{""coordinates"": [2.605858784858037, 46.35914537262064], ""type"": ""Point""}"
Châtillon-sur-Seine;840000;1;042+220;14dedb68-a761-11eb-97ff-01a0b2273146;817887.565899998;6754428.1395;4.577218270484086;47.87965091772741;47.87965091772741, 4.577218270484086;47.879650917716155, 4.577218270484087;"{""coordinates"": [4.577218270484087, 47.879650917716155], ""type"": ""Point""}"
Mulhouse-Nord;125000;1;007+300;51e7b9b8-6665-11e3-afff-01f464e0362d;1026815.0719999969;6749107.7863;7.364652239656463;47.7610513635018;47.7610513635018, 7.364652239656463;47.76105136349022, 7.364652239656466;"{""coordinates"": [7.364652239656466, 47.76105136349022], ""type"": ""Point""}"
Montoire-sur-le-Loir;559000;1;012+777;51e9a26c-6665-11e3-afff-01f464e0362d;539458.1024999991;6742316.835700002;0.856749807577401;47.76163463883846;47.76163463883846, 0.856749807577401;47.76163463882687, 0.8567498075773994;"{""coordinates"": [0.856749807577399, 47.76163463882687], ""type"": ""Point""}"
Espondeilhan;722000;1;446+980;cef43768-dfb5-11e3-8eff-01a464e0362d;720195.6952000037;6260651.633299999;3.249367708169869;43.44468168228993;43.44468168228993, 3.2493677081698693;43.444681682266314, 3.2493677081698693;"{""coordinates"": [3.249367708169869, 43.444681682266314], ""type"": ""Point""}"
Port-St-Louis-du-Rhône;935907;1;023+815;cef428f2-dfb5-11e3-8eff-01a464e0362d;847500.5304000005;6256252.1116;4.819704475795853;43.39009748121549;43.39009748121549, 4.819704475795853;43.39009748119173, 4.819704475795854;"{""coordinates"": [4.819704475795854, 43.39009748119173], ""type"": ""Point""}"
Donges;515000;1;481+721;51eb99ba-6665-11e3-afff-01f464e0362d;316395.01299999654;6702306.806899998;-2.080972295290776;47.309968296365895;47.309968296365895, -2.080972295290776;47.30996829635298, -2.080972295290779;"{""coordinates"": [-2.080972295290779, 47.30996829635298], ""type"": ""Point""}"
Calais-Fréthun;314000;1;290+766;51eda100-6665-11e3-afff-01f464e0362d;618021.4514999986;7092983.743799999;1.83638461356115;50.92748074113395;50.92748074113395, 1.8363846135611503;50.92748074112154, 1.8363846135611492;"{""coordinates"": [1.836384613561149, 50.92748074112154], ""type"": ""Point""}"
Vernon-Giverny;340000;1;080+884;51f02482-6665-11e3-afff-01f464e0362d;588199.0170999989;6889719.8576;1.469105032078425;49.09755295753484;49.09755295753484, 1.4691050320784251;49.09755295751398, 1.469105032078424;"{""coordinates"": [1.469105032078424, 49.09755295751398], ""type"": ""Point""}"
Survilliers-Fosses;272000;1;029+565;51ef6af6-6665-11e3-afff-01f464e0362d;665351.1030000001;6888936.8869;2.52556206135498;49.09932195796354;49.09932195796354, 2.52556206135498;49.0993219579427, 2.5255620613549796;"{""coordinates"": [2.52556206135498, 49.0993219579427], ""type"": ""Point""}"
Le Plessis-Belleville;229000;1;041+914;51e9ad38-6665-11e3-afff-01f464e0362d;681240.8796999976;6888329.1831;2.743161340268594;49.09451958945809;49.09451958945809, 2.743161340268594;49.09451958943723, 2.743161340268594;"{""coordinates"": [2.743161340268594, 49.09451958943723], ""type"": ""Point""}"
Grandpuits-Bagneux;001000;1;063+750;51df2106-6665-11e3-afff-01f464e0362d;696771.6893000007;6832583.5306;2.956222891312811;48.59344959467761;48.59344959467761, 2.956222891312811;48.593449594654196, 2.956222891312811;"{""coordinates"": [2.956222891312811, 48.593449594654196], ""type"": ""Point""}"
Jessains;001000;1;210+470;a4a9dcaa-9243-11e3-94ff-010c64e0362d;817805.009300001;6799116.818999998;4.588137532602017;48.281721521445405;48.281721521445405, 4.588137532602017;48.28172152143534, 4.588137532602019;"{""coordinates"": [4.588137532602019, 48.28172152143534], ""type"": ""Point""}"
St-Cyr;420000;1;021+703;cefa513c-dfb5-11e3-8eff-01a464e0362d;631650.1840000004;6855742.466400001;2.069492819590706;48.79813766759771;48.79813766759771, 2.0694928195907063;48.798137667575354, 2.0694928195907054;"{""coordinates"": [2.069492819590705, 48.798137667575354], ""type"": ""Point""}"
Aubigny-sur-Nère;682000;1;081+231;51e72750-6665-11e3-afff-01f464e0362d;656438.5605999976;6712039.230700001;2.421281229953908;47.50728166593847;47.50728166593847, 2.4212812299539084;47.507281665926136, 2.421281229953908;"{""coordinates"": [2.421281229953908, 47.507281665926136], ""type"": ""Point""}"
