[INFO] 2025-08-18 16:15:59   Logs initialisés !
[INFO] 2025-08-18 16:15:59   Suppression de logs/log_20250818_145944.txt.
[INFO] 2025-08-18 16:16:40   gen	nbevals	avg              	std            	min            	max              
0  	       	[ 12401. 107487.]	[12519.  6569.]	[ 9907. 95515.]	[100000. 134215.]
[INFO] 2025-08-18 16:17:04   1  	       	[ 19469. 104603.]	[26846.  6365.]	[ 9766. 95515.]	[100000. 134215.]
[INFO] 2025-08-18 16:17:27   2  	       	[ 14905. 103767.]	[19527.  5876.]	[ 9766. 95515.]	[100000. 134185.]
[INFO] 2025-08-18 16:17:47   3  	       	[ 10293. 102900.]	[ 360. 5070.]  	[ 9766. 95515.]	[ 11230. 123250.]
[INFO] 2025-08-18 16:18:07   4  	       	[ 10239. 102157.]	[ 363. 4643.]  	[ 9716. 95515.]	[ 11230. 122950.]
[INFO] 2025-08-18 16:18:26   5  	       	[ 10259. 100482.]	[ 377. 3465.]  	[ 9689. 95515.]	[ 11250. 109105.]
[INFO] 2025-08-18 16:18:40   6  	       	[10309. 98876.]  	[ 367. 3017.]  	[ 9519. 95515.]	[ 11189. 105940.]
[INFO] 2025-08-18 16:18:55   7  	       	[10354. 97650.]  	[ 365. 2803.]  	[ 9519. 95515.]	[ 11140. 105490.]
[INFO] 2025-08-18 16:19:12   8  	       	[10372. 96476.]  	[ 250. 1850.]  	[ 9519. 95515.]	[ 10667. 105490.]
[INFO] 2025-08-18 16:19:27   9  	       	[10278. 96369.]  	[ 231. 2166.]  	[ 9519. 94645.]	[ 10772. 105490.]
[INFO] 2025-08-18 16:19:40   10 	       	[10219. 96698.]  	[ 269. 2434.]  	[ 9519. 94645.]	[ 10772. 105490.]
[INFO] 2025-08-18 16:19:52   11 	       	[10123. 97602.]  	[ 287. 3061.]  	[ 9519. 94645.]	[ 10772. 109422.]
[INFO] 2025-08-18 16:20:04   12 	       	[ 9984. 98673.]  	[ 262. 3036.]  	[ 9510. 93970.]	[ 10772. 109422.]
[INFO] 2025-08-18 16:20:20   13 	       	[ 9885. 99326.]  	[ 237. 2969.]  	[ 9510. 92965.]	[ 10772. 109422.]
[INFO] 2025-08-18 16:20:35   14 	       	[  9791. 100264.]	[ 254. 3908.]  	[ 9510. 92845.]	[ 10772. 118300.]
[INFO] 2025-08-18 16:20:52   15 	       	[  9730. 100586.]	[ 274. 4042.]  	[ 9510. 92845.]	[ 10772. 118300.]
[INFO] 2025-08-18 16:21:04   16 	       	[  9701. 100164.]	[ 294. 4007.]  	[ 9156. 92125.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:21:16   17 	       	[ 9699. 99167.]  	[ 300. 4483.]  	[ 9156. 92125.]	[ 10764. 132012.]
[INFO] 2025-08-18 16:21:31   18 	       	[ 9645. 98872.]  	[ 263. 2456.]  	[ 9156. 92125.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:21:40   19 	       	[ 9645. 98996.]  	[ 295. 3049.]  	[ 9156. 92125.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:21:51   20 	       	[ 9677. 98878.]  	[ 371. 3833.]  	[ 9156. 92125.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:22:03   21 	       	[ 9692. 98959.]  	[ 436. 4838.]  	[ 9156. 92125.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:22:15   22 	       	[ 9804. 98375.]  	[ 528. 5874.]  	[ 9156. 92125.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:22:27   23 	       	[ 9906. 98270.]  	[ 642. 7136.]  	[ 9156. 92125.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:22:40   24 	       	[10156. 97775.]  	[ 711. 8171.]  	[ 9156. 92125.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:22:53   25 	       	[  9792. 101353.]	[ 684. 8784.]  	[ 9156. 91855.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:23:07   26 	       	[  9330. 106698.]	[ 320. 7385.]  	[ 9156. 91855.]	[ 10764. 114631.]
[INFO] 2025-08-18 16:23:20   27 	       	[  9245. 110253.]	[ 224. 6843.]  	[ 9156. 91600.]	[ 10490. 114631.]
[INFO] 2025-08-18 16:23:33   28 	       	[  9256. 111057.]	[ 266. 7220.]  	[ 9073. 91600.]	[ 10490. 116326.]
[INFO] 2025-08-18 16:23:46   29 	       	[  9263. 111278.]	[ 297. 7256.]  	[ 9046. 91600.]	[ 10490. 115606.]
[INFO] 2025-08-18 16:23:58   30 	       	[  9321. 109652.]	[ 388. 8368.]  	[ 9046. 91600.]	[ 10840. 115606.]
[INFO] 2025-08-18 16:24:10   31 	       	[  9456. 106563.]	[ 489. 9953.]  	[ 9046. 91600.]	[ 10840. 115606.]
[INFO] 2025-08-18 16:24:23   32 	       	[  9425. 105145.]	[  396. 10051.]	[ 9046. 91600.]	[ 10840. 117166.]
[INFO] 2025-08-18 16:24:36   33 	       	[ 9630. 98762.]  	[ 444. 8312.]  	[ 8999. 91600.]	[ 10866. 121201.]
[INFO] 2025-08-18 16:24:49   34 	       	[ 9703. 95083.]  	[ 320. 4040.]  	[ 8999. 91600.]	[ 10490. 121201.]
[INFO] 2025-08-18 16:25:01   35 	       	[ 9800. 94414.]  	[ 329. 4828.]  	[ 8999. 91600.]	[ 10490. 121201.]
[INFO] 2025-08-18 16:25:12   36 	       	[ 9872. 94404.]  	[ 375. 6161.]  	[ 8999. 91600.]	[ 10490. 121201.]
[INFO] 2025-08-18 16:25:25   37 	       	[ 9901. 95389.]  	[ 459. 8119.]  	[ 8999. 91600.]	[ 10490. 121201.]
[INFO] 2025-08-18 16:25:33   38 	       	[ 9959. 97317.]  	[  600. 10472.]	[ 8999. 91600.]	[ 10490. 121201.]
[INFO] 2025-08-18 16:25:44   39 	       	[10273. 93211.]  	[ 436. 5375.]  	[ 8999. 91600.]	[ 10490. 121201.]
[INFO] 2025-08-18 16:25:57   40 	       	[10259. 93275.]  	[ 451. 5397.]  	[ 8999. 91600.]	[ 10490. 121201.]
