[INFO] 2025-08-18 00:17:59   Logs initialisés !
[INFO] 2025-08-18 00:17:59   Suppression de logs/log_20250817_162927.txt.
[INFO] 2025-08-18 00:17:59   gen	nbevals	avg        	std    	min        	max        
0  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:17:59   1  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:17:59   2  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:17:59   3  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:17:59   4  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:17:59   5  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:17:59   6  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   7  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   8  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   9  	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   10 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   11 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   12 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   13 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   14 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   15 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   16 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   17 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   18 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   19 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   20 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   21 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:00   22 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   23 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   24 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   25 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   26 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   27 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   28 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   29 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   30 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   31 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   32 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   33 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   34 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   35 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   36 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:01   37 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
[INFO] 2025-08-18 00:18:02   38 	       	[470. 599.]	[0. 0.]	[470. 599.]	[470. 599.]
