[INFO] 2025-08-18 15:06:52   Logs initialisés !
[INFO] 2025-08-18 15:06:52   Suppression de logs/log_20250818_145643.txt.
[INFO] 2025-08-18 15:07:39   gen	nbevals	avg              	std            	min            	max              
0  	       	[ 14044. 110830.]	[17549.  9361.]	[ 9819. 97975.]	[100000. 149890.]
[INFO] 2025-08-18 15:08:05   1  	       	[ 17521. 108807.]	[24324. 10088.]	[ 9809. 95725.]	[100000. 146080.]
[INFO] 2025-08-18 15:08:31   2  	       	[ 25543. 107415.]	[33699. 11913.]	[ 9737. 95725.]	[100000. 146080.]
[INFO] 2025-08-18 15:08:56   3  	       	[ 11991. 110584.]	[12578. 14154.]	[ 9737. 95725.]	[100000. 150370.]
[INFO] 2025-08-18 15:09:17   4  	       	[ 10197. 110113.]	[  437. 16309.]	[ 9651. 95725.]	[ 11096. 146335.]
[INFO] 2025-08-18 15:09:35   5  	       	[ 10111. 103814.]	[ 319. 8839.]  	[ 9651. 94900.]	[ 11008. 140620.]
[INFO] 2025-08-18 15:09:52   6  	       	[ 10080. 101731.]	[ 326. 5942.]  	[ 9586. 94900.]	[ 11015. 123685.]
[INFO] 2025-08-18 15:10:08   7  	       	[ 10000. 100920.]	[ 276. 4841.]  	[ 9586. 94885.]	[ 11015. 116902.]
[INFO] 2025-08-18 15:10:22   8  	       	[  9951. 100259.]	[ 216. 5398.]  	[ 9586. 94885.]	[ 10808. 116677.]
[INFO] 2025-08-18 15:10:36   9  	       	[ 9974. 97285.]  	[ 191. 1939.]  	[ 9454. 94885.]	[ 10808. 105625.]
[INFO] 2025-08-18 15:10:47   10 	       	[ 9970. 97371.]  	[ 255. 2204.]  	[ 9454. 94885.]	[ 10808. 105625.]
[INFO] 2025-08-18 15:10:59   11 	       	[ 9872. 97911.]  	[ 195. 2515.]  	[ 9454. 93805.]	[ 10785. 106525.]
[INFO] 2025-08-18 15:11:11   12 	       	[ 9897. 97144.]  	[ 225. 1788.]  	[ 9181. 93805.]	[ 11064. 101965.]
[INFO] 2025-08-18 15:11:25   13 	       	[ 9850. 97091.]  	[ 272. 2223.]  	[ 9181. 93550.]	[ 11064. 102010.]
[INFO] 2025-08-18 15:11:39   14 	       	[ 9885. 95834.]  	[ 277. 1499.]  	[ 9181. 93550.]	[ 10859. 100360.]
[INFO] 2025-08-18 15:11:51   15 	       	[ 9785. 95924.]  	[ 232. 1618.]  	[ 9181. 93550.]	[10742. 99265.]  
[INFO] 2025-08-18 15:12:00   16 	       	[ 9831. 95419.]  	[ 244. 1617.]  	[ 9181. 93550.]	[10742. 99265.]  
[INFO] 2025-08-18 15:12:11   17 	       	[ 9810. 95324.]  	[ 258. 1739.]  	[ 9181. 93550.]	[10136. 99265.]  
[INFO] 2025-08-18 15:12:23   18 	       	[ 9754. 95601.]  	[ 321. 2266.]  	[ 9181. 92980.]	[ 10536. 100540.]
[INFO] 2025-08-18 15:12:34   19 	       	[ 9619. 96709.]  	[ 362. 2394.]  	[ 9181. 92980.]	[ 10536. 100540.]
[INFO] 2025-08-18 15:12:47   20 	       	[ 9477. 97322.]  	[ 383. 2368.]  	[ 9181. 92980.]	[10536. 99265.]  
[INFO] 2025-08-18 15:12:58   21 	       	[ 9422. 97402.]  	[ 316. 2137.]  	[ 9181. 92020.]	[10536. 99265.]  
[INFO] 2025-08-18 15:13:09   22 	       	[ 9487. 96724.]  	[ 328. 2012.]  	[ 9181. 92020.]	[10536. 99265.]  
[INFO] 2025-08-18 15:13:20   23 	       	[ 9369. 97387.]  	[ 207. 1447.]  	[ 9181. 92020.]	[10323. 98365.]  
[INFO] 2025-08-18 15:13:33   24 	       	[ 9390. 97239.]  	[ 262. 1927.]  	[ 9181. 92020.]	[ 10323. 105340.]
[INFO] 2025-08-18 15:13:44   25 	       	[ 9434. 96697.]  	[ 342. 2197.]  	[ 8920. 91750.]	[10323. 98365.]  
[INFO] 2025-08-18 15:13:54   26 	       	[ 9437. 96589.]  	[ 396. 2411.]  	[ 8920. 91750.]	[10323. 98365.]  
[INFO] 2025-08-18 15:14:06   27 	       	[ 9585. 95497.]  	[ 425. 2446.]  	[ 8920. 91750.]	[10323. 98365.]  
[INFO] 2025-08-18 15:14:18   28 	       	[ 9761. 94238.]  	[ 431. 1978.]  	[ 8920. 91750.]	[10323. 98560.]  
[INFO] 2025-08-18 15:14:31   29 	       	[ 9535. 95057.]  	[ 290. 1588.]  	[ 8920. 91750.]	[10156. 98560.]  
[INFO] 2025-08-18 15:14:44   30 	       	[ 9520. 95083.]  	[ 343. 1910.]  	[ 8920. 91750.]	[ 10156. 102250.]
[INFO] 2025-08-18 15:14:58   31 	       	[ 9407. 95148.]  	[ 401. 2249.]  	[ 8812. 91690.]	[ 10156. 102250.]
[INFO] 2025-08-18 15:15:10   32 	       	[ 9229. 95956.]  	[ 405. 2378.]  	[ 8812. 91690.]	[ 10075. 102385.]
[INFO] 2025-08-18 15:15:24   33 	       	[ 9055. 96866.]  	[ 320. 2106.]  	[ 8812. 91690.]	[ 10043. 102385.]
[INFO] 2025-08-18 15:15:35   34 	       	[ 9093. 96543.]  	[ 351. 2415.]  	[ 8722. 91690.]	[ 10043. 102385.]
